Organism	Peptide Count	Acetylated Peptide Count	Protein Count	Acetylated Protein Count	Decoy Protein Count	Protein FDR
Acidiphilium cryptum JF-5	6407	138	809	61	1	0.0012360939431396785
Agrobacterium tumefaciens IAM 12048 (DVZ35)	10604	110	1428	83	1	0.0007002801120448179
Alcaligenes faecalis	13179	346	1269	172	0	0.0
Algoriphagus HL-49	23411	602	1713	230	0	0.0
Anaerococcus hydrogenalis DSM 7454	16663	623	1014	205	1	0.0009861932938856016
Bacillus cereus ATCC14579	25520	1357	1949	419	1	0.000513083632632119
Bacillus subtilis 168	18925	697	1504	252	2	0.0013297872340425532
Bacillus subtilis NCIB3610	36506	734	2047	287	4	0.0019540791402051783
Bacteroides fraglilis 638R	36700	1712	1681	453	12	0.007138607971445568
Bacteroides thetaiotaomicron VPI15482	43352	1562	2031	473	13	0.006400787789266372
Bifidobacterium bifidum	11482	259	924	117	1	0.0010822510822510823
Bifidobacterium (longum) infantis	10812	211	948	95	1	0.0010548523206751054
Campylobacter jejuni F38011	25105	1025	1328	324	4	0.0030120481927710845
Cellulomonas gilvus ATCC 13127	29417	632	1905	204	6	0.0031496062992125984
Cellulophaga baltica 18	24005	635	1972	245	4	0.002028397565922921
Chryseobacterium indologenes	11350	482	1067	205	1	0.0009372071227741331
Citrobacter freundii UCI31	27730	678	2098	243	3	0.0014299332697807435
Clostridium ljungdahlii DMS 13528 ATCC 55383	21491	1196	1665	311	3	0.0018018018018018018
Coprococcus comes ATCC 27758	21140	109	1621	87	1	0.0006169031462060457
Cupriavidus necator N-1 (DVZ60)	15292	247	1572	129	0	0.0
Cyanobacterium staneri HL-69	13244	326	1279	140	0	0.0
Delftia acidovorans	18848	804	1861	256	2	0.0010746910263299302
Dorea formicigenerans	4203	116	475	62	0	0.0
Erythrobacter HL-111	18329	158	1492	98	1	0.0006702412868632708
Faecalibacterium prausnitzii ATCC 27766	13241	102	964	61	0	0.0
Fibrobacter succinogenes S85	16602	663	1266	216	0	0.0
Francisella novicida U112	17819	657	1223	266	3	0.0024529844644317253
Halomonas HL-48	19778	222	1629	126	0	0.0
Halomonas HL-93	9541	81	1246	52	0	0.0
Lactobacillus casei ATCC 334	7323	521	766	177	0	0.0
Legionella pneumophila Philadelphia 1	16404	640	1361	260	0	0.0
Micrococcus luteus ATCC 49732	12485	222	1245	120	0	0.0
Mycobacterium smegmatis	21879	354	2313	172	2	0.0008646779074794639
Myxococcus xanthus DZ2	43051	822	2875	319	5	0.0017391304347826088
Paenibacillus polymyxa ATCC842	18701	467	1679	174	4	0.0023823704586063135
Paracoccus denitrificans ATCC 19367	21313	495	1956	188	2	0.0010224948875255625
Prevotella ruminicola 23 ATCC 19189	12548	42	1278	37	1	0.000782472613458529
Pseudomonas putida KT2440 WT	19439	1134	1907	358	5	0.0026219192448872575
Rhodococcus jostii RHA1 (RHA1)	23772	208	2507	113	1	0.00039888312724371757
Rhodopseudomonas palustris CGA009	27357	841	2399	334	2	0.0008336807002917883
Roseibaca HL-91	16672	343	1586	173	2	0.0012610340479192938
Ruminococcus gnavus ATCC 29149	13165	35	1185	26	0	0.0
Stigmatella aurantiaca DW4/3-1	25604	364	2758	161	1	0.00036258158085569254
Streptococcus agalactiae ATCC 27956	8785	477	756	162	0	0.0
Streptomyces griseorubens (X5)	9118	37	967	26	0	0.0
Streptomyces venezuelae ATCC 10712	13434	250	1257	121	1	0.0007955449482895784
Sulfobacillus thermosulfidooxidans DSMZ 9293	12747	225	1183	112	0	0.0
Synechococcus elongatus PCC 7942	18444	436	1698	202	5	0.002944640753828033
